disease_id,disease_name,crop_name,scientific_name,disease_type,severity_level,description,symptoms,affected_parts,cause,favorable_conditions,yield_impact,treatment,organic_treatment,chemical_treatment,application_instructions,preventive_measures,monitoring_actions
KD011,Tomato Spider Mites,Tomato,Tetranychus urticae,Pest Related,Medium,"Spider mites feed on tomato leaves causing discoloration reduced vigor and yield loss","Tiny yellow spots;Bronzing leaves;Fine webbing;Leaf drying","Leaves","Infestation by two-spotted spider mites","Hot dry weather;Low humidity","10-30% yield reduction","Reduce mite populations using integrated pest management","Neem oil spray;Predatory mites;Insecticidal soap","Abamectin;Spiromesifen","Apply according to pest thresholds and label instructions","Maintain field hygiene;Encourage beneficial insects","Inspect leaf undersides regularly;Monitor mite populations"
KD012,Pepper Bell Bacterial Spot,Pepper,Xanthomonas euvesicatoria,Bacterial,High,"Pepper Bell Bacterial Spot causes leaf lesions fruit spots and defoliation reducing yield and market quality","Small water-soaked spots;Dark lesions;Yellow halos;Fruit blemishes","Leaves;Fruit","Xanthomonas bacterial infection","Warm temperatures;High humidity;Rain splash","10-50% yield reduction","Use disease-free seed and apply bactericides","Copper-based products","Copper bactericides","Apply according to label recommendations during disease development","Use certified seed;Avoid overhead irrigation;Field sanitation","Inspect plants weekly;Remove severely infected plants"
KD013,Bell Pepper Leaf Spot,Pepper,Cercospora capsici,Fungal,Medium,"Leaf Spot causes circular lesions on pepper leaves leading to reduced photosynthetic activity","Brown circular spots;Leaf yellowing;Premature leaf drop","Leaves","Fungal infection","Warm humid conditions","10-30% yield reduction","Apply fungicides and remove infected foliage","Neem oil spray;Sanitation","Copper fungicides;Chlorothalonil","Apply when symptoms appear","Crop rotation;Proper spacing;Field sanitation","Monitor leaves regularly;Remove infected foliage"
KD014,Corn Leaf Blight,Corn,Exserohilum turcicum,Fungal,High,"Corn Leaf Blight affects maize leaves reducing photosynthesis and grain production","Long cigar-shaped lesions;Leaf drying;Reduced vigor","Leaves","Exserohilum turcicum infection","Moderate temperatures;High humidity","10-50% yield reduction","Apply fungicides and use resistant varieties","Biofungicides;Crop residue management","Azoxystrobin;Propiconazole","Apply according to disease pressure","Crop rotation;Resistant hybrids","Inspect fields weekly;Monitor lesion development"
KD015,Corn Gray Leaf Spot,Corn,Cercospora zeae-maydis,Fungal,High,"Gray Leaf Spot is a major corn disease causing rectangular gray lesions and yield loss","Rectangular gray lesions;Leaf blighting","Leaves","Cercospora zeae-maydis infection","Warm humid weather;Extended leaf wetness","10-40% yield reduction","Apply fungicides and use resistant hybrids","Residue management;Crop rotation","Strobilurin fungicides;Triazole fungicides","Apply at recommended growth stages","Reduce crop residue;Use resistant hybrids","Scout fields regularly for lesions"
KD016,Corn Rust,Corn,Puccinia sorghi,Fungal,Medium,"Corn Rust causes rust-colored pustules on leaves reducing plant vigor","Rust-colored pustules;Leaf yellowing","Leaves","Puccinia sorghi infection","Moderate temperatures;High humidity","5-25% yield reduction","Use resistant varieties and fungicides if necessary","Improve field sanitation","Propiconazole;Azoxystrobin","Apply when disease thresholds are exceeded","Plant resistant hybrids;Crop management","Monitor leaves during humid periods"
KD017,Apple Scab,Apple,Venturia inaequalis,Fungal,High,"Apple Scab is a common fungal disease affecting leaves and fruit causing cosmetic and economic losses","Olive-green spots;Dark lesions;Fruit scabs","Leaves;Fruit","Venturia inaequalis infection","Cool wet weather","10-70% yield reduction","Apply fungicides and remove infected debris","Neem oil;Sanitation","Captan;Mancozeb","Apply throughout the infection period","Prune trees;Improve airflow;Remove fallen leaves","Inspect leaves and fruit regularly"
KD018,Apple Rust,Apple,Gymnosporangium juniperi-virginianae,Fungal,Medium,"Apple Rust causes bright orange lesions on leaves reducing photosynthesis","Orange leaf spots;Leaf distortion","Leaves","Gymnosporangium fungal infection","Wet spring weather","5-30% yield reduction","Apply fungicides and manage alternate hosts","Remove nearby juniper hosts where practical","Myclobutanil;Mancozeb","Apply during susceptible growth stages","Prune infected tissue;Improve airflow","Monitor leaves during spring season"
KD019,Grape Black Rot,Grape,Guignardia bidwellii,Fungal,High,"Grape Black Rot affects leaves shoots and fruit causing significant crop losses","Brown leaf spots;Black fruit mummies;Fruit rot","Leaves;Fruit;Shoots","Guignardia bidwellii infection","Warm humid weather;Frequent rainfall","10-80% yield reduction","Apply fungicides and remove infected fruit","Sanitation;Pruning","Mancozeb;Myclobutanil","Apply during critical growth stages","Remove mummified fruit;Improve canopy airflow","Inspect vines regularly throughout the season"
KD020,Squash Powdery Mildew,Squash,Podosphaera xanthii,Fungal,High,"Powdery Mildew is a common squash disease causing white fungal growth and reduced yield","White powdery growth;Leaf yellowing;Reduced vigor","Leaves","Podosphaera xanthii infection","Warm dry days;Cool nights;High humidity","10-50% yield reduction","Apply fungicides and remove heavily infected leaves","Neem oil;Potassium bicarbonate sprays","Sulfur fungicides;Myclobutanil","Apply when symptoms first appear","Provide spacing;Improve airflow;Crop rotation","Inspect leaves weekly;Monitor disease spread"
KD021,Rice Bacterial Blight,Rice,Xanthomonas oryzae pv. oryzae,Bacterial,Critical,"Rice Bacterial Blight is a serious bacterial disease that damages rice leaves and reduces grain yield","Yellow leaf margins;Leaf drying;Wilted seedlings;White to yellow streaks","Leaves","Xanthomonas oryzae pv. oryzae infection","High humidity;Heavy rainfall;Warm temperatures","20-80% yield reduction","Use resistant varieties and balanced fertilization","Field sanitation;Use disease-free seeds","Copper-based bactericides","Apply according to agricultural recommendations","Use resistant varieties;Avoid excessive nitrogen;Proper field drainage","Inspect fields weekly;Monitor leaf symptoms"
KD022,Rice Blast,Rice,Magnaporthe oryzae,Fungal,Critical,"Rice Blast is one of the most destructive rice diseases affecting leaves nodes and panicles","Diamond-shaped lesions;Leaf drying;Neck rot;Panicle damage","Leaves;Nodes;Panicles","Magnaporthe oryzae infection","High humidity;Frequent rainfall;Cool nights","30-100% yield reduction","Apply fungicides and use resistant cultivars","Field sanitation;Balanced fertilization","Tricyclazole;Azoxystrobin","Apply at early symptom appearance","Use resistant varieties;Avoid excess nitrogen","Monitor fields regularly especially during humid weather"
KD023,Rice Brown Spot,Rice,Bipolaris oryzae,Fungal,High,"Rice Brown Spot causes brown lesions on leaves and can reduce grain quality and yield","Brown circular spots;Leaf yellowing;Seed discoloration","Leaves;Seeds","Bipolaris oryzae infection","High humidity;Nutrient deficiency;Warm weather","10-40% yield reduction","Apply fungicides and improve crop nutrition","Compost application;Field sanitation","Mancozeb;Propiconazole","Apply according to disease pressure","Balanced fertilization;Use healthy seeds","Inspect leaves and seeds regularly"
KD024,Rice Tungro,Rice,Rice Tungro Virus,Viral,Critical,"Rice Tungro is a viral disease transmitted by leafhoppers causing severe stunting and yield loss","Yellow-orange leaves;Stunted growth;Reduced tillering","Leaves;Entire Plant","Rice Tungro Virus transmitted by green leafhoppers","High vector population;Warm weather","20-100% yield reduction","Control vectors and remove infected plants","Neem-based sprays;Field sanitation","Recommended insecticides for vector control","Apply based on vector population levels","Use resistant varieties;Control leafhoppers;Synchronize planting","Monitor vector populations and infected plants"
KD025,Banana Black Sigatoka,Banana,Pseudocercospora fijiensis,Fungal,Critical,"Black Sigatoka is a severe fungal disease that reduces photosynthesis and fruit yield","Dark streaks;Black leaf spots;Leaf drying","Leaves","Pseudocercospora fijiensis infection","High humidity;Warm temperatures;Frequent rainfall","30-80% yield reduction","Apply fungicides and remove infected leaves","Neem oil;Field sanitation","Propiconazole;Mancozeb","Apply according to disease pressure","Proper spacing;Remove infected foliage","Inspect leaves weekly"
KD026,Banana Bract Mosaic Virus,Banana,Banana bract mosaic virus,Viral,High,"Viral disease causing mosaic patterns and distorted growth","Mosaic patterns;Leaf distortion;Stunted growth","Leaves;Entire Plant","Virus infection","Vector insects;Infected planting material","20-60% yield reduction","Remove infected plants","Use healthy suckers","No direct chemical cure","Destroy infected plants","Use certified planting material","Monitor symptoms regularly"
KD027,Banana Moko Disease,Banana,Ralstonia solanacearum,Bacterial,Critical,"Serious bacterial wilt disease of banana","Wilting;Yellow leaves;Plant death","Roots;Stem;Leaves","Bacterial infection","Warm wet conditions","40-100% yield reduction","Remove infected plants immediately","Field sanitation","Copper bactericides","Follow agricultural recommendations","Use clean planting material","Inspect plants frequently"
KD028,Banana Panama Disease,Banana,Fusarium oxysporum f.sp. cubense,Fungal,Critical,"Soil-borne wilt disease affecting banana production","Yellowing leaves;Wilting;Plant collapse","Roots;Vascular tissue","Fungal infection","Warm soil;Poor drainage","30-100% yield reduction","Destroy infected plants","Improve drainage","No highly effective chemical control","Prevent spread","Use resistant cultivars","Monitor field regularly"
KD029,Banana Yellow Sigatoka,Banana,Pseudocercospora musae,Fungal,High,"Common fungal leaf disease reducing banana yield","Yellow streaks;Leaf spots","Leaves","Fungal infection","High humidity","10-50% yield reduction","Apply fungicides","Neem oil spray","Mancozeb","Apply at symptom onset","Improve airflow","Inspect weekly"
KD030,Groundnut Nutrition Deficiency,Groundnut,Nutritional Disorder,Nutritional,Medium,"Deficiency of essential nutrients affecting growth","Yellow leaves;Poor growth","Leaves;Entire Plant","Nutrient deficiency","Poor soil fertility","10-40% yield reduction","Balanced fertilization","Organic compost","Micronutrient supplements","Apply based on soil test","Regular soil testing","Monitor plant growth"
KD031,Groundnut Rust,Groundnut,Puccinia arachidis,Fungal,High,"Rust disease causing leaf damage","Rust pustules;Leaf yellowing","Leaves","Fungal infection","Humid conditions","10-40% yield reduction","Apply fungicides","Neem oil spray","Propiconazole","Apply when symptoms appear","Crop rotation","Inspect leaves weekly"
KD032,Groundnut Tikka Leaf Spot,Groundnut,Cercospora arachidicola,Fungal,High,"Major leaf spot disease in groundnut","Brown leaf spots;Defoliation","Leaves","Fungal infection","Warm humid weather","20-50% yield reduction","Apply fungicides","Field sanitation","Chlorothalonil","Apply regularly","Use resistant varieties","Monitor disease progression"
KD033,Mango Anthracnose,Mango,Colletotrichum gloeosporioides,Fungal,Critical,"Common mango disease affecting leaves flowers and fruits","Black lesions;Fruit rot","Leaves;Flowers;Fruits","Fungal infection","Rainy humid weather","20-80% yield reduction","Apply fungicides","Neem oil spray","Copper fungicides","Apply preventively","Pruning;Sanitation","Inspect fruits regularly"
KD034,Mango Bacterial Canker,Mango,Xanthomonas campestris,Bacterial,High,"Bacterial disease causing cankers and fruit lesions","Cankers;Leaf spots","Leaves;Branches;Fruits","Bacterial infection","Humid weather","10-50% yield reduction","Prune infected parts","Copper sprays","Copper bactericides","Apply during disease development","Use healthy nursery stock","Inspect branches regularly"
KD035,Mango Cutting Weevil,Mango,Sternochetus mangiferae,Pest Related,High,"Weevil damages young shoots and fruits","Bored shoots;Damaged fruits","Shoots;Fruits","Weevil infestation","Warm conditions","10-40% yield reduction","Integrated pest management","Neem oil","Recommended insecticides","Apply according to threshold","Orchard sanitation","Monitor pest activity"
KD036,Mango Die Back,Mango,Lasiodiplodia theobromae,Fungal,High,"Disease causing drying of branches and shoots","Branch drying;Shoot death","Branches;Shoots","Fungal infection","Humid weather","10-50% yield reduction","Prune infected branches","Neem oil","Copper fungicides","Apply after pruning","Proper orchard hygiene","Inspect trees frequently"
KD037,Mango Gall Midge,Mango,Procontarinia matteiana,Pest Related,Medium,"Insect pest causing galls and flower damage","Galls;Flower drop","Leaves;Flowers","Gall midge infestation","Warm humid conditions","5-30% yield reduction","Control pest population","Neem extract","Recommended insecticides","Apply during infestation","Field sanitation","Monitor flowering stage"
KD038,Mango Powdery Mildew,Mango,Oidium mangiferae,Fungal,High,"Powdery mildew affecting flowers and leaves","White powdery growth","Leaves;Flowers","Fungal infection","Cool humid weather","10-60% yield reduction","Apply fungicides","Sulfur spray","Wettable sulfur","Apply at first symptoms","Improve airflow","Inspect flowers regularly"
KD039,Mango Sooty Mould,Mango,Capnodium spp.,Fungal,Medium,"Black fungal coating reducing photosynthesis","Black soot-like coating","Leaves","Fungal growth on honeydew","High insect activity","5-20% yield reduction","Control sap-sucking insects","Neem oil","Insecticides","Control insect vectors","Manage aphids and scales","Inspect leaves frequently"
KD040,Sugarcane Red Rot,Sugarcane,Colletotrichum falcatum,Fungal,Critical,"Most destructive disease of sugarcane","Red internal stem discoloration","Stem","Fungal infection","Warm humid conditions","20-80% yield reduction","Remove infected canes","Field sanitation","Carbendazim","Apply according to recommendations","Use resistant varieties","Inspect stalks regularly"
KD041,Sugarcane Rust,Sugarcane,Puccinia melanocephala,Fungal,High,"Rust disease reducing sugarcane productivity","Rust pustules","Leaves","Fungal infection","Humid weather","10-40% yield reduction","Apply fungicides","Neem oil spray","Propiconazole","Apply when needed","Use resistant varieties","Inspect foliage"
KD042,Sugarcane Smut,Sugarcane,Sporisorium scitamineum,Fungal,Critical,"Disease causing black whip-like structures","Black whip formation","Stem;Growing point","Fungal infection","Warm humid climate","20-60% yield reduction","Remove infected plants","Field sanitation","Systemic fungicides","Apply according to recommendations","Use disease-free setts","Monitor crop growth"
KD043,Wheat Brown Rust,Wheat,Puccinia triticina,Fungal,High,"Common rust disease affecting wheat yield","Brown pustules","Leaves","Fungal infection","Cool humid conditions","10-40% yield reduction","Apply fungicides","Neem oil spray","Propiconazole","Apply when symptoms appear","Use resistant cultivars","Inspect leaves regularly"
KD044,Wheat Powdery Mildew,Wheat,Blumeria graminis,Fungal,High,"Powdery mildew reduces photosynthesis and yield","White powdery growth","Leaves","Fungal infection","Cool humid weather","10-30% yield reduction","Apply fungicides","Sulfur spray","Triadimefon","Apply at first symptoms","Use resistant varieties","Monitor disease spread"
KD045,Wheat Yellow Rust,Wheat,Puccinia striiformis,Fungal,Critical,"Yellow rust can spread rapidly and cause severe yield loss","Yellow stripes;Rust pustules","Leaves","Fungal infection","Cool wet weather","20-70% yield reduction","Apply fungicides","Neem oil spray","Propiconazole","Apply immediately when detected","Use resistant varieties","Inspect fields weekly"
